"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"GELT;Microeletrônica;8;Eletrônica digital,Tecnologia dos semicondutores"
"GELT;Circuitos integrados;8;Eletrônica Digital"
"GELT;Processamento de Sinais II;8;Sinais e Sistemas"
"GELT;Economia;9;"
"GELT;Projeto final I;9;Metodologia Científica,Mínimo de 130 créditos"
"GELT;Instrumentação eletrônica;9;Eletrônica II"
"GELT;Dispositivos reprogramáveis;9;Microprocessadores I"
"GELT;Televisão Digital;9;Processamento de Sinais II"
"GELT;Estágio supervisionado;10;Mínimo de 120 créditos"
"GELT;Sistemas de Qualidade;10;Mínimo de 100 créditos"
"GELT;Projeto final II;10;Projeto final I"
"GFIS;Cálculo a Uma Variável;1;"
"GFIS;Álgebra Linear l;1;"
"GFIS;Introdução à Física;1;"
"GFIS;Física Básica I;1;"
"GFIS;Práticas de Física I;1;"
"GFIS;Cálculo a Várias Variáveis;2;Cálculo a Uma Variável"
"GFIS;Álgebra Linear II;2;Álgebra Linear l"
"GFIS;Algoritmos e Programação;2;"
"GFIS;Física Básica II;2;Física Básica I,Cálculo a uma Variável"
"GFIS;Práticas de Física II;2;Física Básica I,Práticas de Física I"
"GFIS;Física Matemática I;3;Cálculo a várias Variáveis"
"GFIS;Estatística;3;Cálculo a várias Variáveis"
"GFIS;Física Básica III;3;Física Básica I,Cálculo a várias Variáveis"
"GFIS;Práticas de Física III;3;Física Básica II,Práticas de Física II"
"GFIS;Física Matemática II;4;Física Matemática I,Álgebra Linear II"
"GFIS;Física Moderna I;4;Física Básica III"
"GFIS;Práticas de Física Moderna I;4;Física Básica III,Práticas de Física III"
"GFIS;Mecânica Clássica;4;Física Matemática I,Física Básica I"
"GFIS;Física Computacional I;4;Algoritmos e Programação,Física Matemática I"
"GFIS;Física Matemática III;5;Física Matemática II"
"GFIS;Física Moderna II;5;Física Moderna I"
"GFIS;Práticas de Física Moderna II;5;Física Moderna I,Práticas de Física Moderna I"
"GFIS;Eletromagnetismo I;5;Física Matemática II,Física Básica III"
"GFIS;Mecânica Analítica I;5;Mecânica Clássica,Física Matemática II"
"GFIS;Eletromagnetismo II;6;Eletromagnetismo I"
"GFIS;Mecânica Quântica I;6;Física Moderna II,Física Matemática II"
"GFIS;Mecânica Analítica II;6;Mecânica Analítica I"
"GFIS;Mecânica Estatística;7;Física Moderna II"
"GFIS;Mecânica Quântica II;7;Mecânica Quântica I"
"GFIS;Física Atômica e Molecular;7;Mecânica Quântica I"
"GFIS;Física Nuclear e Partículas Elementares;7;Física Moderna II"
"GFIS;Monografia I;7;"
"GFIS;Física do Estado Sólido;8;Mecânica Estatística,Mecânica Quântica I"
"GFIS;Mecânica Quântica Relativística;8;Mecânica Quântica II"
"GFIS;Monografia II;8;Monografia I"
"GMEC;Cálculo a uma variável;1;"
"GMEC;Álgebra Linear I;1;"
"GMEC;Desenho;1;"
"GMEC;Química;1;"
"GMEC;Introdução à Engenharia;1;"
